Country,Year,Oil production (TWh)
Algeria,1900,0
Algeria,1901,0
Algeria,1902,0
Algeria,1903,0
Algeria,1904,0
Algeria,1905,0
Algeria,1906,0
Algeria,1907,0
Algeria,1908,0
Algeria,1909,0
Algeria,1910,0
Algeria,1911,0
Algeria,1912,0
Algeria,1913,0
Algeria,1914,0
Algeria,1915,0
Algeria,1916,0.01163
Algeria,1917,0.01163
Algeria,1918,0.01163
Algeria,1919,0.01163
Algeria,1920,0.01163
Algeria,1921,0
Algeria,1922,0.01163
Algeria,1923,0.01163
Algeria,1924,0.02326
Algeria,1925,0.02326
Algeria,1926,0.01163
Algeria,1927,0.01163
Algeria,1928,0.01163
Algeria,1929,0.03489
Algeria,1930,0.02326
Algeria,1931,0.01163
Algeria,1932,0.01163
Algeria,1933,0.01163
Algeria,1934,0
Algeria,1935,0
Algeria,1936,0
Algeria,1937,0
Algeria,1938,0
Algeria,1939,0
Algeria,1940,0
Algeria,1941,0
Algeria,1942,0
Algeria,1943,0
Algeria,1944,0.01163
Algeria,1945,0
Algeria,1946,0
Algeria,1947,0
Algeria,1948,0
Algeria,1949,0
Algeria,1950,0.03489
Algeria,1951,0.08141
Algeria,1952,0.53498
Algeria,1953,0.98855
Algeria,1954,0.84899
Algeria,1955,0.63965
Algeria,1956,0.39542
Algeria,1957,0.24423
Algeria,1958,4.98927
Algeria,1959,14.32816
Algeria,1960,100.39016
Algeria,1961,182.09091
Algeria,1962,238.49641
Algeria,1963,274.89832
Algeria,1964,308.06708
Algeria,1965,304.0002
Algeria,1966,391.262
Algeria,1967,449.44415
Algeria,1968,493.38818
Algeria,1969,516.78827
Algeria,1970,561.8859
Algeria,1971,427.9568
Algeria,1972,578.319
Algeria,1973,601.25507
Algeria,1974,556.3107
Algeria,1975,544.32935
Algeria,1976,607.42487
Algeria,1977,648.445
Algeria,1978,662.15814
Algeria,1979,675.54517
Algeria,1980,599.4387
Algeria,1981,534.1274
Algeria,1982,531.3829
Algeria,1983,522.8083
Algeria,1984,567.38074
Algeria,1985,547.31964
Algeria,1986,563.81366
Algeria,1987,583.7999
Algeria,1988,611.4504
Algeria,1989,633.65845
Algeria,1990,678.6744
Algeria,1991,682.6081
Algeria,1992,657.1114
Algeria,1993,655.03894
Algeria,1994,652.1087
Algeria,1995,649.08484
Algeria,1996,686.3133
Algeria,1997,716.0245
Algeria,1998,713.91675
Algeria,1999,680.686
Algeria,2000,776.73285
Algeria,2001,764.68414
Algeria,2002,824.4972
Algeria,2003,918.8281
Algeria,2004,971.6982
Algeria,2005,1005.2701
Algeria,2006,1002.5293
Algeria,2007,1005.7857
Algeria,2008,985.7705
Algeria,2009,898.23145
Algeria,2010,858.0033
Algeria,2011,833.58026
Algeria,2012,781.67554
Algeria,2013,753.43787
